"x" "y" "altitude"
"219288" -48.3599624859541 -1.27984989132746 17
"119139" -48.2596009202934 -1.19754497928452 16
"46173" -48.3388737556038 -1.13729702822665 29
"421983" -48.3056717111703 -1.44363845191728 19
"86649" -48.3758854925837 -1.17084695484896 37
"376847" -48.2556295601044 -1.40615597824985 18
"148320" -48.2617939249092 -1.2240780281884 32
"456651" -48.4780715681354 -1.50961750784759 16
"235199" -48.2436877002301 -1.2922006599994 33
"370655" -48.3004487208172 -1.4011815554539 13
"361262" -48.2907453647536 -1.39362975701957 25
"102321" -48.273117819455 -1.18331554669439 26
"210939" -48.3682935112041 -1.27357434499332 16
"219316" -48.3005817095816 -1.27983419084502 21
"143571" -48.2461679498605 -1.22005906658644 22
"271900" -48.3769394781864 -1.3208311838295 15
"242417" -48.4736576566968 -1.29812099095366 16
"98134" -48.2820924914751 -1.17969381906919 21
"265725" -48.4240273386137 -1.31571357296929 6
"289740" -48.2966392703587 -1.33387068398308 22
"435067" -48.2877595688622 -1.45534666858583 17
"131644" -48.361419740654 -1.2096552841504 10
"324568" -48.2427315643833 -1.36213613504113 32
"154480" -48.3278258571721 -1.22917228863819 3
"130298" -48.2932770305272 -1.20842129145095 43
"435385" -48.4522753726455 -1.45628468808243 8
"425231" -48.4849416046571 -1.44719711674335 23
"364221" -48.3613185082671 -1.39575860172115 32
"383848" -48.300575261104 -1.41179436906283 17
"191895" -48.3769398518216 -1.26031654939713 12
"410920" -48.3077367602047 -1.43375432182922 19
"8488" -48.4003788429246 -1.08652018173245 17
"198043" -48.4349011648027 -1.26475056303479 17
"358230" -48.4539190740325 -1.39157855954168 22
"102322" -48.2729331210762 -1.18303608915857 25
"221113" -48.2661741854572 -1.281054216096 36
"358952" -48.3101716032439 -1.39169719812949 23
"134184" -48.2185238093492 -1.21174565945484 26
"290164" -48.2458615103106 -1.33409324948355 47
"196473" -48.4702840767816 -1.26380792000202 21
"15311" -48.3715079892285 -1.10213567767801 27
"45458" -48.2260890053439 -1.13663155150525 6
"196081" -48.5387474075339 -1.26390209447261 16
"114142" -48.4164694120786 -1.19378811542611 15
"68712" -48.2960978678905 -1.1573651555806 3
"276857" -48.395612326627 -1.32425337218958 6
"443764" -48.4828247491709 -1.4788977185956 4
"98810" -48.2920805042014 -1.18026218526429 14
"1900" -48.3374083051283 -1.06914898753491 11
"314666" -48.2946738530998 -1.35481446783447 24
"343564" -48.468084843565 -1.3801418648248 9
"364849" -48.3664976915204 -1.39650923641813 17
"267777" -48.3081030743432 -1.31744057706048 17
"295490" -48.3168904022562 -1.33845465227832 21
"394060" -48.3177704960216 -1.41977402168588 24
"174859" -48.5144940292907 -1.2470911948913 14
"26645" -48.2595402246514 -1.11627689070637 8
"257451" -48.2618431845389 -1.30925601940324 17
"228142" -48.4237791814346 -1.28680486215422 10
"167808" -48.2408288875697 -1.24067277449465 30
"261568" -48.3689470409906 -1.31258342981467 6
"118084" -48.2712549250893 -1.1967188663831 21
"209313" -48.3381875336329 -1.27247260049185 14
