"x" "y" "jan" "fev" "mar" "abr" "mai" "jun" "jul" "ago" "set" "out" "nov" "dez"
"V18" -1.11277665115 -48.4212069851 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V19" -1.11277665115 -48.4115549852 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V20" -1.11277665115 -48.4019029853 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V21" -1.11277665115 -48.3922509854 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V22" -1.11277665115 -48.3825989855 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V23" -1.11277665115 -48.3729469856 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V24" -1.11277665115 -48.3632949857 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V25" -1.11277665115 -48.3536429858 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V26" -1.11277665115 -48.3439909859 340.19902610775 389.855724334813 455.608133316062 468.054542541438 345.666170120313 185.591108799075 175.158648172947 139.210411548544 82.209718704225 74.8528650999063 69.348599553075 227.023631811081
"V27" -1.11277665115 -48.334338986 340.19902610775 389.855724334813 455.608133316062 468.054542541438 345.666170120313 185.591108799075 175.158648172947 139.210411548544 82.209718704225 74.8528650999063 69.348599553075 227.023631811081
"V28" -1.11277665115 -48.2957309864 342.48998355875 396.374715805063 467.310081481938 462.358386993437 347.343300819438 189.429388522994 181.099814351467 142.592292308825 84.5293147563937 75.380829811075 73.3473724127 223.143339157012
"V29" -1.11277665115 -48.2860789865 342.48998355875 396.374715805063 467.310081481938 462.358386993437 347.343300819438 189.429388522994 181.099814351467 142.592292308825 84.5293147563937 75.380829811075 73.3473724127 223.143339157012
